index,n,digits_Q47n,log10_n
313,83702501805,505,10.922738
314,83918295196,505,10.923857
315,84440673564,505,10.926552
316,84710961261,505,10.927940
317,84928199293,505,10.929052
318,85058335663,505,10.929717
319,85068264638,505,10.929768
320,85521151294,505,10.932074
321,85852668947,505,10.933754
322,86178377841,505,10.935398
323,86644629583,505,10.937742
324,86724695576,505,10.938143
325,86950703531,505,10.939273
326,87072590030,505,10.939881
327,87170648704,505,10.940370
328,87344272124,505,10.941234
329,87364378511,505,10.941334
330,87438247775,505,10.941701
331,87452447516,505,10.941772
332,87534173136,506,10.942178
333,88000750393,506,10.944486
334,88225100466,506,10.945592
335,88549537599,506,10.947186
336,88701334800,506,10.947930
337,88779247373,506,10.948311
338,88870530997,506,10.948758
339,89170676253,506,10.950222
340,89327920763,506,10.950987
341,89697718770,506,10.952781
342,90120216580,506,10.954822
343,90127223577,506,10.954856
344,90247182065,506,10.955434
345,90756107910,506,10.957876
346,91592273385,506,10.961859
347,91718694462,506,10.962458
348,92159918264,507,10.964542
349,92214146477,507,10.964798
350,92285900374,507,10.965135
351,92581796260,507,10.966526
352,92907320364,507,10.968050
353,93003063818,507,10.968497
354,93134573698,507,10.969111
355,93175678446,507,10.969303
356,93818735711,507,10.972290
357,93927206077,507,10.972791
358,94039728985,507,10.973311
359,94112206037,507,10.973646
360,94332214979,507,10.974660
361,95238649216,507,10.978813
362,95519945974,507,10.980094
363,95681300394,507,10.980827
364,95922284038,507,10.981920
365,96254651397,507,10.983422
366,96361653066,507,10.983904
367,96411495580,507,10.984129
368,96509865208,507,10.984572
369,96680703338,507,10.985340
370,96694304307,508,10.985401
371,96726037844,508,10.985543
372,97275115576,508,10.988002
373,97868110949,508,10.990641
374,99025879256,508,10.995749
375,99205436226,508,10.996535
376,99257692051,508,10.996764
377,101117813255,508,11.004828
378,101226256473,508,11.005293
379,101726838873,509,11.007436
380,101932808352,509,11.008314
381,102037623801,509,11.008760
382,102267860300,509,11.009739
383,103376065808,509,11.014420
384,103396228638,509,11.014505
385,103957400502,509,11.016855
386,104486576750,509,11.019061
387,104504127917,509,11.019133
388,105053774425,509,11.021412
389,105164813266,509,11.021870
390,105248284594,509,11.022215
391,105463974581,509,11.023104
392,105618030431,509,11.023738
393,105950863709,509,11.025105
394,106128313306,509,11.025831
395,106168717370,509,11.025997
396,106451271265,509,11.027151
397,106849203495,509,11.028771
398,107055268648,510,11.029608
399,107094700716,510,11.029768
400,107108214622,510,11.029823
401,107163255221,510,11.030046
402,107707905675,510,11.032248
403,108219662789,510,11.034306
404,108418038553,510,11.035102
405,109079902566,510,11.037745
406,109088508082,510,11.037779
407,109421263737,510,11.039102
408,109547710839,510,11.039603
409,109642314968,510,11.039978
410,110200337978,510,11.042183
411,110545163916,510,11.043540
412,110953692031,510,11.045142
413,111056522234,510,11.045544
414,111394504551,510,11.046864
415,111807642623,510,11.048471
416,112231397180,510,11.050114
417,112243761274,510,11.050162
418,112368908562,511,11.050646
419,112612226091,511,11.051586
